Sounding ID                                  	82ef6f2c-6742-43d8-bdab-f285477bb82d
Balloon release date and time                	2019-02-18T20:41:24
Sonde serial number                          	P4830288
Sonde type                                   	RS41-SGP
Tracked satellite average count              	12.0
Sounding status                              	Ok

   n Elapsed time HeightMSL      P  Temp  RH  Dewp Dir Speed AscRate  TimeUTC    Lat     Lon
                s         m    hPa    °C   %    °C   °   m/s     m/s hh:mm:ss      °       °
   1            0        25 1013.9  26.4  72  20.9  87   5.4     0.0 20:41:25 13.163 -59.429
   2            1        29 1013.5  25.8  76  21.4  77   4.8     3.6 20:41:26 13.163 -59.429
   3            2        33 1013.0  25.7  77  21.4  73   4.8     4.4 20:41:27 13.163 -59.429
   4            3        39 1012.3  25.6  77  21.3  72   5.0     6.1 20:41:28 13.162 -59.429
   5            4        46 1011.5  25.5  77  21.2  72   5.2     6.3 20:41:29 13.162 -59.429
   6            5        51 1010.9  25.5  76  21.0  73   5.5     5.8 20:41:30 13.162 -59.429
   7            6        58 1010.2  25.4  76  20.9  73   5.8     6.2 20:41:31 13.162 -59.429
   8            7        63 1009.5  25.3  76  20.9  74   6.1     5.4 20:41:32 13.162 -59.429
   9            8        69 1008.8  25.3  76  20.8  74   6.3     6.1 20:41:33 13.162 -59.429
  10            9        76 1008.2  25.2  76  20.8  74   6.6     6.9 20:41:34 13.162 -59.430
  11           10        81 1007.5  25.2  77  20.8  74   6.8     5.1 20:41:35 13.162 -59.430
  12           11        87 1006.9  25.1  77  20.8  75   7.0     5.8 20:41:36 13.162 -59.430
  13           12        93 1006.3  25.1  77  20.8  75   7.2     6.5 20:41:37 13.162 -59.430
  14           13        97 1005.7  25.0  77  20.8  75   7.4     4.0 20:41:38 13.162 -59.430
  15           14       101 1005.1  25.0  77  20.8  75   7.5     3.7 20:41:39 13.162 -59.430
  16           15       106 1004.5  24.9  77  20.7  75   7.7     4.9 20:41:40 13.162 -59.430
  17           16       111 1004.0  24.9  78  20.7  75   7.8     5.1 20:41:41 13.162 -59.430
  18           17       117 1003.4  24.8  78  20.7  75   7.9     5.7 20:41:42 13.162 -59.430
  19           18       122 1002.8  24.8  78  20.7  75   8.0     5.1 20:41:43 13.162 -59.430
  20           19       128 1002.2  24.7  78  20.7  75   8.1     5.7 20:41:44 13.162 -59.430
  21           20       133 1001.5  24.7  78  20.6  76   8.2     5.7 20:41:45 13.162 -59.430
  22           21       139 1000.9  24.6  78  20.5  76   8.3     5.2 20:41:46 13.162 -59.430
  23           22       145 1000.3  24.6  78  20.4  76   8.3     6.1 20:41:47 13.162 -59.430
  24           23       151  999.8  24.5  78  20.4  76   8.4     5.9 20:41:48 13.162 -59.431
  25           24       155  999.2  24.5  78  20.4  76   8.4     4.0 20:41:49 13.162 -59.431
  26           25       159  998.7  24.5  78  20.4  76   8.5     4.1 20:41:50 13.162 -59.431
  27           26       163  998.1  24.4  78  20.4  76   8.5     3.9 20:41:51 13.162 -59.431
  28           27       167  997.6  24.4  78  20.3  76   8.5     4.3 20:41:52 13.162 -59.431
  29           28       172  997.0  24.3  78  20.3  76   8.5     5.2 20:41:53 13.162 -59.431
  30           29       178  996.5  24.3  78  20.3  76   8.6     5.7 20:41:54 13.162 -59.431
  31           30       183  995.9  24.2  79  20.3  75   8.6     5.0 20:41:55 13.162 -59.431
  32           31       188  995.4  24.2  79  20.3  75   8.6     5.0 20:41:56 13.162 -59.431
  33           32       193  994.8  24.1  79  20.3  75   8.6     5.1 20:41:57 13.162 -59.431
  34           33       197  994.2  24.1  79  20.3  75   8.7     3.8 20:41:58 13.162 -59.431
  35           34       202  993.7  24.0  79  20.3  75   8.7     5.0 20:41:59 13.162 -59.431
  36           35       207  993.0  24.0  80  20.3  75   8.7     5.0 20:42:00 13.162 -59.431
  37           36       212  992.4  23.9  80  20.4  75   8.7     5.6 20:42:01 13.162 -59.432
  38           37       219  991.7  23.9  81  20.4  74   8.8     6.3 20:42:02 13.162 -59.432
  39           38       224  991.1  23.8  81  20.4  74   8.8     5.2 20:42:03 13.162 -59.432
  40           39       232  990.4  23.7  81  20.3  74   8.8     8.4 20:42:04 13.162 -59.432
  41           40       240  989.7  23.7  81  20.3  74   8.9     7.9 20:42:05 13.162 -59.432
  42           41       245  989.0  23.6  82  20.3  74   8.9     5.3 20:42:06 13.162 -59.432
  43           42       252  988.4  23.5  82  20.3  74   9.0     6.1 20:42:07 13.162 -59.432
  44           43       255  987.8  23.5  82  20.3  74   9.0     3.6 20:42:08 13.162 -59.432
  45           44       259  987.2  23.5  82  20.3  74   9.1     3.8 20:42:09 13.162 -59.432
  46           45       264  986.6  23.4  83  20.3  74   9.1     5.3 20:42:10 13.162 -59.432
  47           46       271  986.0  23.4  83  20.3  74   9.1     6.6 20:42:11 13.162 -59.432
  48           47       276  985.4  23.3  83  20.3  74   9.2     5.4 20:42:12 13.162 -59.432
  49           48       283  984.8  23.2  83  20.3  74   9.2     6.4 20:42:13 13.162 -59.433
  50           49       287  984.2  23.2  83  20.2  74   9.3     4.5 20:42:14 13.162 -59.433
  51           50       293  983.6  23.1  83  20.2  74   9.3     5.5 20:42:15 13.162 -59.433
  52           51       297  983.1  23.1  84  20.2  74   9.3     4.3 20:42:16 13.161 -59.433
  53           52       301  982.5  23.0  84  20.2  74   9.3     4.4 20:42:17 13.161 -59.433
  54           53       306  981.9  23.0  84  20.2  74   9.4     4.8 20:42:18 13.161 -59.433
  55           54       310  981.4  23.0  85  20.3  74   9.4     4.0 20:42:19 13.161 -59.433
  56           55       317  980.8  22.9  85  20.3  74   9.4     6.8 20:42:20 13.161 -59.433
